"STAID","STANAME","CN","LAT","LON","HGHT","minyear","maxyear"
2515,"SNEEK                                       ","NL","+53:01:59","+005:37:59",0,1950,2025
2516,"SOEST                                       ","NL","+52:10:00","+005:19:00",3,1880,2025
2517,"SPAKENBURG                                  ","NL","+52:15:00","+005:24:00",0,1880,2025
2518,"ST ANTHONIS                                 ","NL","+51:37:59","+005:52:59",15,1886,2025
2519,"ST KRUIS                                    ","NL","+51:16:00","+003:30:00",1,1879,2025
2521,"STAVENISSE                                  ","NL","+51:34:59","+004:01:00",0,1924,2025
2522,"STEENBERGEN (NB)                            ","NL","+51:34:59","+004:19:59",0,1950,2025
2523,"STEENWIJKSMOER                              ","NL","+52:40:00","+006:40:59",9,1901,2025
2524,"STEIN (L)                                   ","NL","+50:58:00","+005:45:00",22,1950,2025
2525,"STRAMPROY                                   ","NL","+51:10:59","+005:43:00",31,1950,2025
2526,"STRIJEN                                     ","NL","+51:46:00","+004:34:59",0,1931,2025
2527,"TERNEUZEN                                   ","NL","+51:18:00","+003:52:00",1,1904,2025
2529,"TILBURG                                     ","NL","+51:34:00","+005:07:59",11,1950,2025
2530,"TUBBERGEN                                   ","NL","+52:24:00","+006:46:59",26,1940,2025
2531,"UBACHSBERG                                  ","NL","+50:51:00","+005:55:00",175,1931,2025
2532,"UITHUIZEN                                   ","NL","+53:24:00","+006:40:00",1,1950,2025
2533,"VAALS                                       ","NL","+50:46:59","+006:00:00",180,1891,2025
2534,"VAASSEN                                     ","NL","+52:16:59","+005:58:00",13,1866,2025
2535,"VEENDAM                                     ","NL","+53:06:00","+006:49:59",2,1884,2025
2536,"VEENENDAAL                                  ","NL","+52:01:59","+005:36:00",6,1879,2025
2537,"VEENHUIZEN (D)                              ","NL","+53:03:00","+006:24:00",7,1904,2025
2538,"VENRAY                                      ","NL","+51:31:00","+006:00:00",22,1950,2025
2539,"VILSTEREN                                   ","NL","+52:31:59","+006:21:00",4,1950,2025
2540,"VLEUTEN                                     ","NL","+52:04:59","+005:00:00",0,1848,2025
2541,"VOORSCHOTEN                                 ","NL","+52:07:59","+004:25:59",-6,1876,2025
2542,"VOORTHUIZEN                                 ","NL","+52:10:59","+005:37:00",14,1867,2025
2543,"VROOMSHOOP                                  ","NL","+52:27:00","+006:34:00",7,1950,2025
2544,"VROUWENPOLDER                               ","NL","+51:34:59","+003:34:59",16,1950,2025
2545,"WAGENINGEN (PD)                             ","NL","+51:58:00","+005:39:00",15,1879,2025
2546,"WAPENVELD                                   ","NL","+52:25:59","+006:04:59",1,1866,2025
2547,"WEERT                                       ","NL","+51:15:00","+005:42:00",32,1950,2025
2548,"WEST BEEMSTER                               ","NL","+52:34:59","+004:54:00",-3,1866,2025
2549,"WESTKAPELLE                                 ","NL","+51:31:59","+003:27:00",0,1950,2025
2550,"WIJK BIJ DUURSTEDE                          ","NL","+51:58:00","+005:19:00",5,1897,2025
2551,"WINSCHOTEN                                  ","NL","+53:07:59","+007:03:00",0,1905,2025
2552,"WOLPHAARTSDIJK                              ","NL","+51:31:59","+003:43:59",0,1866,2025
2553,"WOLTERSUM                                   ","NL","+53:16:00","+006:43:00",-1,1846,2025
2554,"WOOLD                                       ","NL","+51:55:00","+006:43:59",48,1879,2025
2555,"ZAANDAM (HEMBRUG)                           ","NL","+52:25:00","+004:49:59",18,1866,2025
2556,"ZALTBOMMEL                                  ","NL","+51:48:00","+005:16:00",2,1871,2025
2557,"ZEEWOLDE                                    ","NL","+52:22:59","+005:22:00",-3,1968,2025
2558,"ZEEWOLDE (SCHILLINKWEG)                     ","NL","+52:18:00","+005:25:00",-2,1950,2025
2559,"ZEGVELD                                     ","NL","+52:07:59","+004:49:59",-1,1931,2025
2560,"ZETTEN                                      ","NL","+51:55:59","+005:43:00",7,1879,2025
2561,"ZOETERMEER                                  ","NL","+52:04:00","+004:31:59",-4,1931,2025
2562,"ZWOLLE                                      ","NL","+52:31:59","+006:07:59",1,1950,2025
2563,"DEELEN                                      ","NL","+52:03:18","+005:52:19",50,1970,2025
2564,"EELDE-1                                     ","NL","+53:07:00","+006:34:59",3,1846,2025
2565,"HOOGEVEEN                                   ","NL","+52:44:56","+006:34:23",15,1950,2025
2566,"EINDHOVEN                                   ","NL","+51:26:58","+005:22:36",22,1950,2025
2567,"EINDHOVEN-1                                 ","NL","+51:25:00","+005:28:59",18,1868,2025
2568,"MAASTRICHT-2                                ","NL","+50:51:00","+005:40:59",125,1900,2025
2569,"TWENTHE                                     ","NL","+52:16:23","+006:53:26",33,1941,2025
2570,"VALKENBURG                                  ","NL","+52:10:13","+004:25:45",0,1876,2025
2571,"WESTDORPE                                   ","NL","+51:13:28","+003:51:39",1,1904,2025
